Vuln_ID,Severity,Group_Title,Rule_ID,STIG_ID
V-38475,medium,SRG-OS-000078,SV-50275r3_rule,RHEL-06-000050
V-38476,high,SRG-OS-000090,SV-50276r3_rule,RHEL-06-000008
V-38477,medium,SRG-OS-000075,SV-50277r1_rule,RHEL-06-000051
V-38478,low,SRG-OS-000096,SV-50278r2_rule,RHEL-06-000009
V-38479,medium,SRG-OS-000076,SV-50279r1_rule,RHEL-06-000053
V-38480,low,SRG-OS-999999,SV-50280r1_rule,RHEL-06-000054
V-38481,medium,SRG-OS-000191,SV-50281r1_rule,RHEL-06-000011
V-38482,low,SRG-OS-000071,SV-50282r2_rule,RHEL-06-000056
V-38483,medium,SRG-OS-000103,SV-50283r1_rule,RHEL-06-000013
V-38484,medium,SRG-OS-000025,SV-50285r2_rule,RHEL-06-000507
V-38486,medium,SRG-OS-000100,SV-50287r1_rule,RHEL-06-000505
V-38487,low,SRG-OS-000103,SV-50288r1_rule,RHEL-06-000015
V-38488,medium,SRG-OS-000099,SV-50289r1_rule,RHEL-06-000504
V-38489,medium,SRG-OS-000232,SV-50290r1_rule,RHEL-06-000016
V-38490,medium,SRG-OS-000273,SV-50291r6_rule,RHEL-06-000503
V-38491,high,SRG-OS-000248,SV-50292r1_rule,RHEL-06-000019
V-38492,medium,SRG-OS-000109,SV-50293r1_rule,RHEL-06-000027
V-38493,medium,SRG-OS-000059,SV-50294r1_rule,RHEL-06-000385
V-38494,low,SRG-OS-000109,SV-50295r1_rule,RHEL-06-000028
V-38495,medium,SRG-OS-000057,SV-50296r1_rule,RHEL-06-000384
V-38496,medium,SRG-OS-999999,SV-50297r3_rule,RHEL-06-000029
V-38497,high,SRG-OS-999999,SV-50298r3_rule,RHEL-06-000030
V-38498,medium,SRG-OS-000058,SV-50299r1_rule,RHEL-06-000383
V-38499,medium,SRG-OS-999999,SV-50300r1_rule,RHEL-06-000031
V-38500,medium,SRG-OS-999999,SV-50301r2_rule,RHEL-06-000032
V-38501,medium,SRG-OS-000249,SV-50302r4_rule,RHEL-06-000357
V-38502,medium,SRG-OS-999999,SV-50303r1_rule,RHEL-06-000033
V-38503,medium,SRG-OS-999999,SV-50304r1_rule,RHEL-06-000034
V-38504,medium,SRG-OS-999999,SV-50305r1_rule,RHEL-06-000035
V-38511,medium,SRG-OS-999999,SV-50312r2_rule,RHEL-06-000082
V-38512,medium,SRG-OS-000146,SV-50313r2_rule,RHEL-06-000117
V-38513,medium,SRG-OS-000231,SV-50314r2_rule,RHEL-06-000120
V-38514,medium,SRG-OS-000096,SV-50315r5_rule,RHEL-06-000124
V-38515,medium,SRG-OS-000096,SV-50316r5_rule,RHEL-06-000125
V-38516,low,SRG-OS-000096,SV-50317r3_rule,RHEL-06-000126
